tabu	Values & Norms
tagebuch	Literature
tanz	Arts and culture
taschenlampe	Objects & Materials
tatort	Legal Terms
tatsächlich	Adjectives
teich	Landscape & nature
teilnehmen an + d	Social life
testament	Legal Terms
thron	Politics
tod	Life Stages
tragödie	Literature
transport	Transport & Mobility
traumhaft	Adjectives
treffpunkt	Social life
trend	Society
trick	Abstract
trocknen	Laundry
trost	Emotions
typ	Abstract
tätigkeit	Work
umfassend	Adjectives
umfrage	News Media
umgebung	Spatial relations
umgehen mit + d	Core verbs
umstand	Abstract
ungerecht	Values & Norms
ungewöhnlich	Adjectives
unterscheiden	Academic Work
unterstützen	Core verbs
unterwegs	Adverbs
verantwortlich für + a	Values & Norms
verbergen	Core verbs
verdacht	Legal Terms
verfügen über + a	Core verbs
vergebung	Values & Norms
verhelfen zu + d	Core verbs
verhindern	Core verbs
verlauf	Abstract
verlust	Abstract
vermutung	Abstract
verschieden	Adjectives
verschwörung	Society
verständnis	Abstract
vertraut	Adjectives
vertreten	Work
verwaltung	Administration
verwöhnen	Emotions
verzichten auf + a	Core verbs
verzweifelt	Emotions
video	Entertainment & Media
villa	Home
von nutzen sein	Useful Phrases
voraussichtlich	Time
vorfall	Abstract
vorkenntnis	Education
vornehm	Register & Style
vorschrift	Administration
vorsicht	Abstract
vorsitzender	Politics
vorsprung	Abstract
wahnsinn	Mental health concepts
warnung	Communication
wegen + g	Connectors
weisheit	Abstract
weitergeben	Communication
weitreichend	Adjectives
weltberühmt	Society
weltweit	Society
wertvoll	Adjectives
wesentlich	Adjectives
whisky	Food and beverages
widersprechen	Rhetoric & Debate
wiedererkennen	Core verbs
wiederwahl	Elections
winzig	Adjectives
wissen	Abstract
woanders	Adverbs
während + g	Connectors
wöchentlich	Time
zaun	Home
zeichnung	Visual Arts
zeile	Language
zeitalter	Time
zeitpunkt	Time
zettel	Objects & Materials
ziehen nach + d	Real Estate & Moving
zirkus	Free time
zoo	Free time
zudem	Adverbs
zufall	Abstract
zuhören	Communication
zukunftsplan	Abstract
zukünftig	Time
zulassen	Core verbs
zur verfügung stehen	Useful Phrases
zurzeit	Time
zusammenfassung	Academic Writing
zuversicht	Emotions
überblick	Abstract
überfüllt	Urban life
überhaupt	Adverbs
überlegung	Abstract
überprüfung	Administration
übersichtlich	Adjectives
überzeugend	Adjectives
üblich	Adjectives
übrigens	Adverbs
