# Duplicate groups this pass deliberately did NOT merge — each needs a human ruling.
# Merging on a gloss heuristic would destroy real homographs: der Zug is train AND
# move-in-a-game, der Kurs is course AND share price, der Satz is sentence AND set.
# term	why	copies
billig	glosses differ — may be a homograph	A1/Adjectives: cheap || A2/Everyday life basics: cheap, inexpensive
braten	glosses differ — may be a homograph	A2/Food & drink: to fry, to roast || B1/Food and beverages: to fry / roast
bunt	glosses differ — may be a homograph	A1/Adjectives: colourful || A2/Colors: colorful
darstellen	glosses differ — may be a homograph	B2/Visual Arts: to depict, represent || B1/Arts and culture: to portray; to depict
das Abendessen	glosses differ — may be a homograph	A1/Food & drink: dinner, supper || A2/Food and beverages: dinner / supper
das Amt	glosses differ — may be a homograph	A2/Administration: government office || B1/Politics: office, post
das Angebot	glosses differ — may be a homograph	A1/Miscellaneous: offer || B2/Economy & Markets: supply, offer
das Argument	glosses differ — may be a homograph	B1/Opinion: argument (point) || C1/Negotiation & Argument: argument
das Denkmal	glosses differ — may be a homograph	B1/Society: monument, memorial || A2/Everyday life basics: monument
das Ehrenamt	glosses differ — may be a homograph	B1/Social life: voluntary office, volunteer role || C1/Civil Society & Engagement: voluntary position
das Einkaufszentrum	glosses differ — may be a homograph	A2/Money & shopping: shopping centre, mall || B1/Urban life: shopping centre
das Engagement	glosses differ — may be a homograph	B2/Relationships: commitment, dedication || B1/Social Engagement: commitment, involvement
das Ereignis	glosses differ — may be a homograph	B1/Society: event, occurrence || A2/Miscellaneous: event
das Erlebnis	glosses differ — may be a homograph	A2/Miscellaneous: experience (event) || B1/Arts and culture: experience; event
das Feld	glosses differ — may be a homograph	B1/Farm: field || A2/Games: square / field
das Flugzeug	glosses differ — may be a homograph	A1/Town & travel: airplane || A2/Everyday life basics: airplane || B1/Military concepts: aircraft, plane
das Gerät	glosses differ — may be a homograph	B1/Technology: device, appliance || A1/Technology & Devices: device
das Geschäft	glosses differ — may be a homograph	A1/Town & travel: shop; business || A2/Core Vocabulary: shop / business
das Gesetz	glosses differ — may be a homograph	B1/Administration: law || C2/Legal Terms: law, statute
das Gespräch	glosses differ — may be a homograph	A2/Communication: conversation, talk || A1/Learning Languages: conversation
das Getränk	glosses differ — may be a homograph	A2/Dining: drink, beverage || A1/First words to learn: drink
das Gleichgewicht	glosses differ — may be a homograph	B1/Fitness and training: balance || B2/Games: balance / equilibrium
das Glück	glosses differ — may be a homograph	A2/Social life: luck; happiness || A1/Miscellaneous: luck, happiness
das Heimatland	glosses differ — may be a homograph	C1/Miscellaneous: homeland, home country || B1/Home & Europe: home country
das Konto	glosses differ — may be a homograph	A1/Money & shopping: bank account || B2/Finance & Taxes: bank account || B1/Personal finance: account
das Kostüm	glosses differ — may be a homograph	A2/Social life: costume || B1/Clothing: suit (women's), costume
das Medikament	glosses differ — may be a homograph	A2/Health: medicine, medication || B1/Body and health: medication
das Motiv	glosses differ — may be a homograph	B1/Free time: motif, subject; motive || C2/Motifs & Symbols: motif
das Paket	glosses differ — may be a homograph	B1/Communication: parcel, package || A2/Everyday life basics: package, parcel
das Regal	glosses differ — may be a homograph	A1/Home: shelf || A2/Home: shelf, bookcase || B1/Furniture: shelf
das Reiseziel	glosses differ — may be a homograph	A2/Travel: travel destination || B2/Trip Planning & Logistics: destination
das Rezept	glosses differ — may be a homograph	A2/Food & drink: recipe; prescription || B2/Body & Illness: prescription; recipe || B1/Food and beverages: recipe
das Sofa	glosses differ — may be a homograph	A1/Home: sofa, couch || A2/Home: sofa, couch || B1/Furniture: sofa
das Spiel	glosses differ — may be a homograph	A1/Free time: game, match || A2/Everyday life basics: game || B1/Games: game
das Stipendium	glosses differ — may be a homograph	A1/Education: scholarship || B2/Studies & Training: scholarship, grant
das Stück	glosses differ — may be a homograph	A1/Money & shopping: piece || B2/Music & Theatre: piece, play
das Studienfach	glosses differ — may be a homograph	A1/Education: subject of study || B2/Studies & Training: field of study
das Telefon	glosses differ — may be a homograph	A1/Communication: telephone || A2/Everyday life basics: phone
das Theater	glosses differ — may be a homograph	A1/Town & travel: theatre || B1/Arts and culture: theater
das Thema	glosses differ — may be a homograph	A2/Communication: topic, subject || A1/Miscellaneous: topic
das Training	glosses differ — may be a homograph	A1/Free time: training || B1/Fitness and training: training / workout
das Trinkgeld	glosses differ — may be a homograph	A2/Dining: tip (gratuity) || A1/Restaurant & Dining: tip || B1/Intermediate travel and daily life: tip
das Viertel	glosses differ — may be a homograph	A2/Town & travel: neighbourhood; quarter || B2/Living & City Life: neighbourhood, district || A1/Basic time concepts: quarter || B1/Urban life: neighborhood / district
das Volksfest	glosses differ — may be a homograph	A2/Social life: folk festival || B1/Home & Europe: folk festival, fair
das Wohlbefinden	glosses differ — may be a homograph	B2/Prevention & Wellbeing: wellbeing || B1/Mental health concepts: well-being
das Ziel	glosses differ — may be a homograph	B1/Abstract: goal, aim; destination || A1/Sport: goal; finish line || A2/Fitness and training: goal, target
dauern	glosses differ — may be a homograph	A2/Core verbs: to last, to take (time) || A1/Miscellaneous: to last, take (time)
der Abschluss	glosses differ — may be a homograph	A2/Education: qualification, completion || B1/University & Studies: degree, qualification || B2/Studies & Training: degree, qualification
der Anspruch	glosses differ — may be a homograph	B1/Miscellaneous: claim, entitlement || B2/Core Vocabulary: claim / demand
der Antrag	glosses differ — may be a homograph	A2/Administration: application, request || B1/Miscellaneous: application
der Aufenthalt	glosses differ — may be a homograph	B1/Administration: stay; residence || B2/Trip Planning & Logistics: stay
der Aufzug	glosses differ — may be a homograph	A1/Home: lift, elevator || B1/Intermediate travel and daily life: elevator, lift
der Ausblick	glosses differ — may be a homograph	A2/Town & travel: view, outlook || B1/Intermediate travel and daily life: view
der Ausflug	glosses differ — may be a homograph	A1/Town & travel: excursion, trip || B1/Excursions: excursion
der Bauch	glosses differ — may be a homograph	A1/Body & health: belly, stomach || A2/The Body: belly || B1/Body parts: belly / abdomen
der Beitrag	glosses differ — may be a homograph	B2/News Media: article, contribution || B1/Captured in study sessions: post / contribution
der Beruf	glosses differ — may be a homograph	A1/Identity: profession, job || A2/Core Vocabulary: profession
der Bildschirm	glosses differ — may be a homograph	A2/Communication: screen || B1/Technology: screen, monitor
der Boden	glosses differ — may be a homograph	A1/Home: floor, ground || A2/The Apartment: floor; ground
der Bundestag	glosses differ — may be a homograph	B1/History of Berlin: German federal parliament || B2/Politics & Sustainability: federal parliament
der Eingang	glosses differ — may be a homograph	A1/Town & travel: entrance || B1/Home: entrance, entry
der Fehler	glosses differ — may be a homograph	A1/Work: mistake, error || A2/Miscellaneous: mistake
der Freund	glosses differ — may be a homograph	A1/People: friend; boyfriend || B1/Family relationships: boyfriend / friend (male) || A2/Relationships: boyfriend / friend (male)
der Gegensatz	glosses differ — may be a homograph	B1/Miscellaneous: opposition, antagonism || A2/Weekend & Events: contrast, opposite
der Gegenstand	glosses differ — may be a homograph	B2/Miscellaneous: object, item, thing, article || A2/Objects & Materials: object, item
der Hals	glosses differ — may be a homograph	A1/Body & health: neck, throat || A2/The Body: throat / neck || B1/Body parts: neck / throat
der Haushalt	glosses differ — may be a homograph	A1/Home: household || B1/Politics: budget; household
der Hausmeister	glosses differ — may be a homograph	A1/Home: caretaker, janitor || B1/Home: janitor, caretaker
der Hof	glosses differ — may be a homograph	B1/Society: farm(yard), courtyard || A2/The Building: courtyard
der Keller	glosses differ — may be a homograph	A2/Home: cellar, basement || B1/Home: basement / cellar
der Kollege	glosses differ — may be a homograph	A1/Work: colleague || A2/Relationships: colleague (male)
der Kredit	glosses differ — may be a homograph	B2/Finance & Taxes: loan, credit || B1/Personal finance: credit / loan
der Kühlschrank	glosses differ — may be a homograph	A1/Home: fridge, refrigerator || A2/Home: refrigerator, fridge
der Kurs	glosses differ — may be a homograph	A1/Work: course || B2/Financial Markets: price / quote (of a security)
der Lohn	glosses differ — may be a homograph	B1/Employment contract: wage || A2/Personal finance: wage, pay
der Mann	glosses differ — may be a homograph	A1/People: man; husband || B1/Family relationships: husband
der Mieter	glosses differ — may be a homograph	A2/Home: tenant || A1/Housing & Room Search: tenant || B1/Home: tenant, renter
der Mietvertrag	glosses differ — may be a homograph	A2/Home: rental contract || B1/Real Estate & Moving: lease / rental contract
der Muskelkater	glosses differ — may be a homograph	A1/Health: sore muscles || B1/Fitness and training: muscle soreness
der Nebel	glosses differ — may be a homograph	A2/Weather & nature: fog, mist || B1/Weather conditions: fog
der Patient	glosses differ — may be a homograph	A2/Health: patient || A1/Miscellaneous: patient || B2/Body & Illness: patient (m.)
der Platz	glosses differ — may be a homograph	A1/Town & travel: square; seat, space || B1/Urban life: square / plaza
der Preis	glosses differ — may be a homograph	A1/Money & shopping: price; prize || A2/Everyday life basics: price
der Pullover	glosses differ — may be a homograph	A2/Clothing: jumper, sweater || A1/Clothing: sweater || B1/Clothing: sweater
der Radweg	glosses differ — may be a homograph	B1/Town & travel: bike path || B2/Transport & Mobility: cycle path
der Satz	glosses differ — may be a homograph	A1/Communication: sentence || B1/Fitness and training: set (of reps)
der Schrank	glosses differ — may be a homograph	A1/Home: cupboard, wardrobe || A2/Home: cupboard, wardrobe || B1/Furniture: wardrobe / cabinet
der Schüler	glosses differ — may be a homograph	A2/Education: pupil, student || A1/First words to learn: student
der Sieger	glosses differ — may be a homograph	A1/Free time: winner || B1/Games: winner / victor
der Staat	glosses differ — may be a homograph	B1/Society: state, country || A2/Politics: state; nation
der Standpunkt	glosses differ — may be a homograph	C1/Negotiation & Argument: position, standpoint || B1/Social Engagement: point of view, standpoint
der Streit	glosses differ — may be a homograph	A2/Social life: argument, quarrel || B1/Relationships: argument / quarrel
der Teppich	glosses differ — may be a homograph	A2/Home: carpet, rug || A1/Furniture: carpet || B1/Home: carpet, rug
der Umsatz	glosses differ — may be a homograph	A2/Oktoberfest: turnover, sales || B2/Economy & Markets: revenue, turnover
der Umzug	glosses differ — may be a homograph	A2/Home: move (house); parade || B1/Real Estate & Moving: move / relocation
der Urlaub	glosses differ — may be a homograph	A1/Town & travel: holiday, vacation || A2/Core Vocabulary: holiday / vacation
der Verbraucher	glosses differ — may be a homograph	B2/Money & shopping: agent noun of verbrauchen || B1/Advertising & Consumption: consumer
der Vertrag	glosses differ — may be a homograph	B1/Political and legal philosophy: treaty, contract || B2/Core Vocabulary: contract
der Vorschlag	glosses differ — may be a homograph	B1/Communication: suggestion, proposal || A1/Miscellaneous: suggestion || A2/Weekend & Events: suggestion
der Wald	glosses differ — may be a homograph	A1/Weather & nature: forest, wood || A2/Core Vocabulary: forest
der Zug	glosses differ — may be a homograph	A1/Town & travel: train || A2/Everyday life basics: train || B1/Games: move / turn
der Zusammenhang	glosses differ — may be a homograph	B1/Abstract: connection, context || B2/Core Vocabulary: connection / context
deshalb	glosses differ — may be a homograph	A2/Adverbs: therefore, that’s why || B1/Core Vocabulary: therefore
deutlich	glosses differ — may be a homograph	A2/Adjectives: clear, distinct || B1/Core Vocabulary: clear
die Abstimmung	glosses differ — may be a homograph	B2/Politics & Sustainability: vote / ballot || B1/Political and legal philosophy: vote, ballot
die Ader	glosses differ — may be a homograph	A2/Body: vein || B2/Body parts: vein, artery
die Angst	glosses differ — may be a homograph	B1/Emotions: fear, anxiety || A1/Miscellaneous: fear || A2/Emotions: fear, anxiety
die Anlage	glosses differ — may be a homograph	B1/Town & travel: grounds, complex; facility || C1/Business Correspondence: attachment, enclosure
die Anmeldung	glosses differ — may be a homograph	A2/Administration: registration || A1/Miscellaneous: registration || B1/Real Estate & Moving: registration of residence
die Anrede	glosses differ — may be a homograph	A1/Communication: form of address, salutation || C1/Business Correspondence: salutation
die Anzeige	glosses differ — may be a homograph	A1/Communication: ad; report || A2/The Advertisement: report (to police); ad
die Aufführung	glosses differ — may be a homograph	B1/Free time: performance || B2/Music & Theatre: performance, production
die Aufgabe	glosses differ — may be a homograph	A1/Work: task, exercise || B1/Core Vocabulary: task
die Ausbildung	glosses differ — may be a homograph	A2/Work: training, apprenticeship || B2/Studies & Training: vocational training, apprenticeship
die Auseinandersetzung	glosses differ — may be a homograph	C1/Academic Writing: engagement, examination || B2/Core Vocabulary: dispute / debate
die Auskunft	glosses differ — may be a homograph	A1/Town & travel: information || B1/Intermediate travel and daily life: information, inquiry
die Aussicht	glosses differ — may be a homograph	A2/Weather & nature: view; prospect || B1/Miscellaneous: prospect; view
die Auswirkung	glosses differ — may be a homograph	B1/Society: effect, impact || B2/Environment & Science: impact, effect
die Bank	glosses differ — may be a homograph	A1/Town & travel: bank; bench || A2/Everyday life basics: bank
die Baustelle	glosses differ — may be a homograph	B1/Town & travel: construction site || A2/Getting Around & Weather: construction site, roadworks
die Bedeutung	glosses differ — may be a homograph	A2/Miscellaneous: meaning, significance || B1/Core Vocabulary: meaning / importance
die Beratung	glosses differ — may be a homograph	A2/Work & profession: consultation, advice || B1/Mental health concepts: counseling, consultation
die Beschwerde	glosses differ — may be a homograph	B1/Communication: complaint || B2/Body & Illness: complaint, symptom
die Besichtigung	glosses differ — may be a homograph	A2/Home: viewing, tour || B1/Intermediate travel and daily life: sightseeing
die Bewegung	glosses differ — may be a homograph	B1/Health: movement, exercise || B2/Prevention & Wellbeing: exercise, movement
die Bewerbung	glosses differ — may be a homograph	A2/Work: application (for a job) || B1/Work & career: application || B2/Job Applications: job application
die Briefmarke	glosses differ — may be a homograph	B1/Communication: postage stamp || A1/Post & Communication: stamp
die Brust	glosses differ — may be a homograph	A2/Body: chest, breast || B1/Body parts: chest / breast
die Düne	glosses differ — may be a homograph	A2/Landscape & nature: dune || B1/Skiing and snowboarding: dune / snow drift
die Epoche	glosses differ — may be a homograph	B1/Society: era, epoch || B2/Visual Arts: era, period
die Figur	glosses differ — may be a homograph	B1/Literature: character (in fiction) || B2/Literature & Film: character
die Fortbildung	glosses differ — may be a homograph	B2/Lifelong Learning: continuing education, upskilling || B1/Applying for Jobs: further training
die Frau	glosses differ — may be a homograph	A1/People: woman; wife || B1/Family relationships: wife
die Freizeit	glosses differ — may be a homograph	A2/Social life: free time, leisure || A1/Hobbies & Leisure: free time || B1/Hobbies and leisure: free time / leisure
die Freundin	glosses differ — may be a homograph	A1/First words to learn: friend / girlfriend || B1/Family relationships: girlfriend / friend (female) || A2/Relationships: girlfriend / friend (female)
die Frist	glosses differ — may be a homograph	B1/Administration: deadline, period || B2/Working Life: deadline
die Genehmigung	glosses differ — may be a homograph	B1/Administration: permit, approval || B2/Core Vocabulary: permission / approval
die Gesellschaft	glosses differ — may be a homograph	B1/Society: society; company || B2/Demographic Change: society
die Gleichberechtigung	glosses differ — may be a homograph	B1/Politics: equal rights || B2/Values & Norms: equality, equal rights
die Haltestelle	glosses differ — may be a homograph	A1/Town & travel: stop (bus/tram) || A2/Town & travel: stop (bus/tram) || B1/Urban life: bus/tram stop
die Heimat	glosses differ — may be a homograph	A1/Identity: home (country/region) || B1/Home & Europe: home, homeland
die Herrschaft	glosses differ — may be a homograph	B1/Society: rule, reign || C2/Power & Authority: rule, dominion
die Hochschule	glosses differ — may be a homograph	B1/Education: university, college || B2/Studies & Training: university, higher education institution
die Hose	glosses differ — may be a homograph	A1/Clothing: trousers, pants || B1/Clothing: trousers / pants
die Kaltmiete	glosses differ — may be a homograph	A2/Home: rent excluding utilities || B2/Real Estate & Moving: base ("cold") rent
die Kaution	glosses differ — may be a homograph	A2/Home: deposit || B2/Real Estate & Moving: security deposit
die Kleidung	glosses differ — may be a homograph	A2/Clothing: clothing, clothes || A1/Miscellaneous: clothing
die Kneipe	glosses differ — may be a homograph	A2/Social life: pub || B1/Urban life: pub / bar
die Kommode	glosses differ — may be a homograph	A1/Home: chest of drawers || B1/Furniture: dresser
die Kompetenz	glosses differ — may be a homograph	B1/Miscellaneous: competence || B2/Lifelong Learning: competence, skill
die Krankenkasse	glosses differ — may be a homograph	A2/Doctor & patient: health insurance fund || B2/Healthcare System: health insurance fund || B1/Body and health: health insurance
die Krankenschwester	glosses differ — may be a homograph	A2/Care & doctor: nurse (female) || A1/First words to learn: nurse
die Krankheit	glosses differ — may be a homograph	A2/Health: illness, disease || B1/Body and health: illness
die Krawatte	glosses differ — may be a homograph	A1/Clothing: tie || B1/Clothing: tie, necktie
die Kreuzung	glosses differ — may be a homograph	B1/Town & travel: intersection, crossroads || A1/City & Directions: crossroads || A2/Getting Around & Weather: crossroads, junction
die künstliche Intelligenz	glosses differ — may be a homograph	C1/Artificial Intelligence: artificial intelligence (AI) || B2/AI & Technology: artificial intelligence
die Lage	glosses differ — may be a homograph	A2/Home: location; situation || B1/Miscellaneous: location, situation
die Lehre	glosses differ — may be a homograph	A2/Work: apprenticeship || B1/University & Studies: apprenticeship; teaching
die Maßnahme	glosses differ — may be a homograph	B1/Administration: measure, action || C1/Sustainability Policy: measure, step || B2/Core Vocabulary: measure
die Meinungsfreiheit	glosses differ — may be a homograph	C1/Civic Courage: freedom of expression || B2/Media Critique: freedom of opinion/speech || B1/Politics: freedom of speech
die Möglichkeit	glosses differ — may be a homograph	A2/Communication: possibility, option || B1/Core Vocabulary: possibility
die Mülltrennung	glosses differ — may be a homograph	B1/Environment: waste separation, recycling || B2/Sustainable Lifestyle: waste separation
die Mütze	glosses differ — may be a homograph	A1/Clothing: cap, beanie || A2/Clothing: beanie, cap
die Nachfrage	glosses differ — may be a homograph	B1/Miscellaneous: demand; inquiry || B2/Economy & Markets: demand
die Nachricht	glosses differ — may be a homograph	A1/Communication: message; news || A2/Communication: message; (pl.) news || B1/Communication & Media: message
die Nähe	glosses differ — may be a homograph	B1/Society: proximity, closeness || A2/Spatial relations: the vicinity, proximity
die Nebenkosten	glosses differ — may be a homograph	A2/Home: utility costs || B2/Real Estate & Moving: utility / incidental costs || B1/Home: additional costs, utilities
die Norm	glosses differ — may be a homograph	C1/Changing Values: norm || B2/Values & Norms: norm, standard
die Note	glosses differ — may be a homograph	A1/Work: grade, mark; note || A2/School & Training: grade / mark || B2/School & Education System: grade, mark
die Pause	glosses differ — may be a homograph	A1/Work: break, pause || A2/Fitness and training: break, rest
die Pflicht	glosses differ — may be a homograph	A2/Miscellaneous: duty, obligation || C1/Ethics & Responsibility: duty, obligation || B1/Core Vocabulary: duty
die Praxis	glosses differ — may be a homograph	A2/Health: practice (doctor’s office) || B2/Healthcare System: doctor’s practice
die Probezeit	glosses differ — may be a homograph	B1/Work & career: probation period || B2/Job Applications: probationary period
die Prüfung	glosses differ — may be a homograph	A1/Work: exam, test || B1/Higher Education: exam || B2/Studies & Training: exam
die Psyche	glosses differ — may be a homograph	B2/Prevention & Wellbeing: psyche, mental state || B1/Mental health concepts: psyche, mind
die Rechnung	glosses differ — may be a homograph	A1/Dining: bill, invoice || B1/Personal finance: invoice / bill
die Reichweite	glosses differ — may be a homograph	B2/Social Networks: reach (media) || C1/Core Vocabulary: reach / scope
die Reparatur	glosses differ — may be a homograph	A1/Home: repair, mending || B1/Services & Complaints: repair
die Richtung	glosses differ — may be a homograph	A1/Town & travel: direction || A2/Spatial relations: the direction
die Ruhe	glosses differ — may be a homograph	A2/Miscellaneous: rest, calm || B1/Intermediate travel and daily life: quiet / peace
die Schlange	glosses differ — may be a homograph	A2/Landscape & nature: snake; queue || B1/Animals: snake
die Schlussfolgerung	glosses differ — may be a homograph	C2/Argument & Thesis: conclusion, inference || B2/Core Vocabulary: conclusion
die Schuld	glosses differ — may be a homograph	C2/Responsibility & Guilt: guilt, fault || B1/Mental health concepts: guilt
die Schulden	glosses differ — may be a homograph	B2/Finance & Taxes: debt || B1/Personal finance: debts
die Sehenswürdigkeit	glosses differ — may be a homograph	A2/Town & travel: sight, attraction || A1/Art & Sights: sight / attraction || B2/Getting Around & Communication: sight, attraction || B1/Intermediate travel and daily life: tourist attraction, sight
die Sitte	glosses differ — may be a homograph	B2/Culture & Encounter: custom, mores || B1/Rules & Etiquette: custom, tradition
die Soße	glosses differ — may be a homograph	A2/Food & drink: sauce || B1/Food and beverages: sauce / gravy
die Spezialität	glosses differ — may be a homograph	A1/Food & drink: speciality || B1/Home & Europe: speciality (food)
die Stadt	glosses differ — may be a homograph	A1/Town & travel: city, town || B1/Urban life: city / town
die Steckdose	glosses differ — may be a homograph	A2/Home: power socket || B1/Home: power outlet, socket
die Stelle	glosses differ — may be a homograph	A1/Work: job position; spot || B2/Job Applications: position, job
die Straße	glosses differ — may be a homograph	A1/Town & travel: street, road || B1/Urban life: street / road
die Tragweite	glosses differ — may be a homograph	C2/Limits of Knowledge: scope, significance || C1/Core Vocabulary: significance / scope
die Treppe	glosses differ — may be a homograph	A1/Home: stairs, staircase || B1/Home: stairs
die U-Bahn	glosses differ — may be a homograph	A1/Town & travel: underground, subway || A2/Everyday life basics: subway || B1/Urban life: subway / metro
die Überweisung	glosses differ — may be a homograph	A2/Money & shopping: bank transfer; referral || B2/Healthcare System: referral || B1/Personal finance: transfer
die Überzeugung	glosses differ — may be a homograph	C1/Changing Values: conviction, belief || B2/Core Vocabulary: conviction
die Übung	glosses differ — may be a homograph	A1/Work: exercise, practice || B1/Fitness and training: exercise
die Umkleidekabine	glosses differ — may be a homograph	A2/Money & shopping: fitting room || B1/Clothing: fitting room, changing room
die Verabredung	glosses differ — may be a homograph	A2/Social life: arrangement, date (to meet) || A1/University & Appointments: appointment (private)
die Veranstaltung	glosses differ — may be a homograph	A1/Free time: event || B1/Arts and culture: event; occasion || A2/Weekend & Events: event
die Verdichtung	glosses differ — may be a homograph	B2/Urban Planning & Future: densification || C2/Core Vocabulary: condensation
die Vereinbarung	glosses differ — may be a homograph	B1/Politics: agreement; deal || B2/Core Vocabulary: agreement
die Verhandlung	glosses differ — may be a homograph	B1/Work: negotiation || C1/Negotiation & Argument: negotiation; trial
die Verpflichtung	glosses differ — may be a homograph	C2/Responsibility & Generations: obligation, commitment || B2/Core Vocabulary: obligation
die Versorgung	glosses differ — may be a homograph	B1/Society: supply, provision || B2/Healthcare System: care, provision
die Verständigung	glosses differ — may be a homograph	B2/Getting Around & Communication: communication, making oneself understood || C1/Interculturality: mutual understanding
die Vielfalt	glosses differ — may be a homograph	B2/Migration & Integration: diversity || B1/Home & Europe: variety, diversity
die Voraussetzung	glosses differ — may be a homograph	B1/Work & career: prerequisite, requirement || A2/Miscellaneous: prerequisite || B2/Core Vocabulary: prerequisite
die Voreingenommenheit	glosses differ — may be a homograph	B2/Media Critique: bias || C1/Artificial Intelligence: bias (in algorithms)
die Vorliebe	glosses differ — may be a homograph	B1/Miscellaneous: preference, fondness || A2/Objects & Materials: preference, liking
die Vorspeise	glosses differ — may be a homograph	A2/Dining: starter, appetizer || A1/Restaurant & Dining: starter || B1/Food and beverages: starter / appetizer
die Vorstellung	glosses differ — may be a homograph	B2/Music & Theatre: performance, show || B1/Arts and culture: performance; show
die Wahl	glosses differ — may be a homograph	B1/Society: election; choice || C1/Democratic Structures: election
die Ware	glosses differ — may be a homograph	A2/Money & shopping: goods, merchandise, ware, commodity || B1/Advertising & Consumption: goods, product
die Weiterbildung	glosses differ — may be a homograph	A2/University & study: further education || B2/Lifelong Learning: further training, professional development
die Werbung	glosses differ — may be a homograph	B1/Media: advertising, advert || A2/Work & Profession: advertising
die Wohnung	glosses differ — may be a homograph	A1/Home: apartment, flat || A2/Everyday life basics: apartment || B1/Home: apartment
die Wurst	glosses differ — may be a homograph	A1/Food & drink: sausage || A2/Food and beverages: sausage / cold cuts
die Zuversicht	glosses differ — may be a homograph	B1/Miscellaneous: confidence, optimism || C1/Core Vocabulary: confidence
einkaufen	glosses differ — may be a homograph	A1/Core verbs: to shop, to buy groceries || A2/Everyday life basics: to shop, go shopping
einräumen	glosses differ — may be a homograph	A1/Home: to put away (into) || C2/Rhetoric & Debate: to concede, admit || C1/Core Vocabulary: to concede
einreichen	glosses differ — may be a homograph	A2/Miscellaneous: to submit || B2/Business & Workplace: to submit, hand in
einstellen	glosses differ — may be a homograph	B1/Work: to hire; to adjust || A2/Company & Departments: to hire || B2/Job Applications: to hire, employ
endlich	glosses differ — may be a homograph	A2/Adverbs: finally, at last || A1/Miscellaneous: finally
eng	glosses differ — may be a homograph	A1/Adjectives: tight, narrow || A2/Clothing Store: tight, narrow || B1/Home: narrow, cramped
erfahren	glosses differ — may be a homograph	A2/Miscellaneous: to learn, find out || B1/Intermediate everyday verbs: to find out, experience
ergänzen	glosses differ — may be a homograph	B1/Intermediate everyday verbs: to supplement, complete || B2/Core Vocabulary: to complement
erheblich	glosses differ — may be a homograph	C1/Artificial Intelligence: considerable, significant || B2/Core Vocabulary: considerable
erkennen	glosses differ — may be a homograph	A2/Core verbs: to recognise || B1/Intermediate everyday verbs: to recognize
erreichen	glosses differ — may be a homograph	B1/Core verbs: to reach, to achieve || A1/Miscellaneous: to reach
erzählen	glosses differ — may be a homograph	A1/Communication: to tell, narrate || B2/Literature & Film: to narrate, tell || A2/Intermediate everyday verbs: to tell, narrate
fahren	glosses differ — may be a homograph	A1/Core verbs: to drive, to go (by vehicle) || A2/Basic verbs: to drive, to travel
fertig	glosses differ — may be a homograph	A1/Adjectives: ready, finished || A2/Core Vocabulary: finished / ready
