# C1 second examples + synonyms — batch 04 (106 cards)
die Beharrlichkeit	Die Beharrlichkeit der Anwohner zahlte sich nach Jahren aus.	The residents' tenacity paid off after years.	Ausdauer|Hartnäckigkeit
relativieren	Später relativierte der Sprecher seine Aussage.	The spokesman later qualified his statement.	abschwächen|einschränken
untermauern	Zahlen aus drei Ländern untermauern diese These.	Figures from three countries substantiate this thesis.	belegen|stützen
hinterfragen	Gute Lehre heißt, auch das eigene Fach zu hinterfragen.	Good teaching means questioning your own discipline too.	anzweifeln
einräumen	Die Behörde räumte erhebliche Versäumnisse ein.	The authority conceded considerable failings.	zugeben|eingestehen
nachvollziehen	Den Rechenweg kann ich nicht nachvollziehen.	I can't follow the calculation.	verstehen|begreifen
veranschaulichen	Ein einfaches Modell veranschaulicht die Bewegung der Planeten.	A simple model illustrates the movement of the planets.	illustrieren|verdeutlichen
konkretisieren	Die Pläne müssen bis zum Herbst konkretisiert werden.	The plans have to be made concrete by autumn.	präzisieren
verallgemeinern	Aus zwei Fällen lässt sich nichts verallgemeinern.	Nothing can be generalised from two cases.	pauschalisieren
eindämmen	Neue Deiche sollen das Hochwasser eindämmen.	New dykes are meant to contain the flooding.	begrenzen|bremsen
ankurbeln	Ein staatlicher Zuschuss soll den Absatz ankurbeln.	A state subsidy is intended to boost sales.	beleben|fördern
bewältigen	Sie bewältigte die Strecke in unter vier Stunden.	She managed the distance in under four hours.	schaffen|meistern
entgegenwirken	Frühe Förderung wirkt sozialer Ungleichheit entgegen.	Early support counteracts social inequality.	gegensteuern
herbeiführen	Ein Vermittler führte die Einigung schließlich herbei.	A mediator finally brought about the agreement.	bewirken|auslösen
in Kauf nehmen	Für diese Aussicht nehmen wir den Umweg gern in Kauf.	For this view we happily accept the detour.
in Frage stellen	Niemand stellt ihre fachliche Kompetenz in Frage.	Nobody is calling her professional competence into question.
Rechnung tragen	Der Zeitplan trägt den Schulferien Rechnung.	The schedule takes account of the school holidays.
Stellung beziehen	Zu den Vorwürfen wollte er nicht Stellung beziehen.	He did not want to take a position on the accusations.
Maßstäbe setzen	Das Museum setzt Maßstäbe in der Vermittlung.	The museum sets standards in public engagement.
sich abzeichnen	Ein Kompromiss zeichnet sich bislang nicht ab.	So far no compromise is emerging.
sich niederschlagen	Die gute Ernte schlägt sich in den Preisen nieder.	The good harvest is reflected in prices.
sich bewähren	Im Ernstfall muss sich das Verfahren erst noch bewähren.	In a real emergency the procedure still has to prove itself.
zugrunde liegen	Welche Daten liegen dieser Grafik zugrunde?	What data underlies this chart?
ins Auge fassen	Für 2029 fasst die Stadt einen Neubau ins Auge.	For 2029 the city is envisaging a new building.
ausschlaggebend	Ausschlaggebend für die Zusage war ihr sicheres Auftreten.	Her confident manner was decisive for the acceptance.	entscheidend|maßgeblich
gravierend	Die Unterschiede sind gravierender, als die Zusammenfassung nahelegt.	The differences are graver than the summary suggests.	schwerwiegend|erheblich
weitreichend	Der Vertrag räumt ihm weitreichende Vollmachten ein.	The contract grants him far-reaching powers.	umfassend
tiefgreifend	Die Krankheit veränderte sein Leben tiefgreifend.	The illness changed his life profoundly.	grundlegend|einschneidend
unabdingbar	Für den Umbau ist eine Genehmigung unabdingbar.	A permit is indispensable for the conversion.	unerlässlich|zwingend
unumgänglich	Eine Verschiebung des Termins ist inzwischen unumgänglich.	Postponing the date has become unavoidable.	unvermeidlich
vielschichtig	Die Ursachen sind vielschichtig und teils widersprüchlich.	The causes are multifaceted and partly contradictory.	komplex|facettenreich
differenziert	Er antwortete differenziert statt mit einem klaren Ja oder Nein.	He answered in a nuanced way rather than with a clear yes or no.	nuanciert
nachweislich	Der Betrieb hat die Grenzwerte nachweislich überschritten.	The plant demonstrably exceeded the limit values.	erwiesenermaßen
augenscheinlich	Augenscheinlich hatte niemand die Anleitung gelesen.	Apparently nobody had read the instructions.	offensichtlich|anscheinend
vermeintlich	Der vermeintliche Zeuge war nie am Tatort.	The supposed witness was never at the crime scene.	angeblich|scheinbar
ausgeprägt	Bei kleinen Kindern ist der Nachahmungstrieb besonders ausgeprägt.	In small children the urge to imitate is especially pronounced.	stark|deutlich
gängig	Für dieses Modell gibt es keine gängigen Ersatzteile mehr.	There are no longer any common spare parts for this model.	üblich|verbreitet
triftig	Nur aus triftigem Grund kann der Termin verschoben werden.	The appointment can only be moved for a cogent reason.	stichhaltig|überzeugend
schlüssig	Die Erklärung klingt schlüssig, ist aber trotzdem falsch.	The explanation sounds conclusive but is wrong nonetheless.	stimmig|folgerichtig
lückenhaft	Die Überlieferung ist an dieser Stelle lückenhaft.	The historical record is incomplete at this point.	unvollständig
bezeichnend	Für seinen Stil ist die knappe Sprache bezeichnend.	The terse language is characteristic of his style.	typisch|charakteristisch
richtungsweisend	Die Ausstellung war richtungsweisend für die junge Fotografie.	The exhibition was trailblazing for young photography.	wegweisend|bahnbrechend
folgenschwer	Ein folgenschwerer Irrtum kostete das Team den Sieg.	A momentous error cost the team the victory.	verhängnisvoll
unverhältnismäßig	Die Polizei setzte unverhältnismäßige Mittel ein.	The police used disproportionate means.	übertrieben
unstrittig	Unstrittig ist, dass die Frist versäumt wurde.	It is undisputed that the deadline was missed.	unbestritten
gleichermaßen	Die Regelung betrifft Mieter und Eigentümer gleichermaßen.	The rule affects tenants and owners equally.	ebenso
zusehends	Die Vorräte gingen zusehends zur Neige.	Supplies were visibly running out.	merklich
unweigerlich	Wer spät bucht, zahlt unweigerlich mehr.	Anyone who books late inevitably pays more.	zwangsläufig|unvermeidlich
mitunter	Die Fahrt dauert mitunter doppelt so lange.	The journey occasionally takes twice as long.	manchmal|bisweilen
weitestgehend	Die Altstadt blieb im Krieg weitestgehend unzerstört.	The old town remained largely undestroyed in the war.	großenteils|überwiegend
letztlich	Letztlich lag die Entscheidung bei ihr allein.	Ultimately the decision was hers alone.	schließlich
nachgerade	Die Bedingungen waren nachgerade unzumutbar.	The conditions were downright unreasonable.	geradezu|regelrecht
gemeinhin	Was gemeinhin als Volksweisheit gilt, hält selten stand.	What is commonly taken for folk wisdom rarely holds up.	üblicherweise|allgemein
vorrangig	Repariert wird vorrangig, was die Sicherheit betrifft.	What concerns safety is repaired first.	hauptsächlich|primär
hinlänglich	Die Risiken sind hinlänglich dokumentiert.	The risks are sufficiently documented.	ausreichend|genügend
ungeachtet	Ungeachtet der hohen Kosten hielt die Stadt am Projekt fest.	Regardless of the high costs the city stuck with the project.	trotz
anhand	Anhand der Fingerabdrücke ließ sich der Fall klären.	The case could be solved on the basis of the fingerprints.	mittels|mithilfe
zugunsten	Das Spiel endete zugunsten der Gäste.	The match ended in favour of the visitors.
hinsichtlich	Hinsichtlich der Frist gibt es keine Ausnahme.	Regarding the deadline there is no exception.	bezüglich
angesichts	Angesichts der Beweise gestand er die Tat.	In view of the evidence he confessed to the offence.
der Souverän	In der Demokratie ist das Volk der Souverän.	In a democracy the people are the sovereign.
bestmöglich	Wir wollen die Kinder bestmöglich auf die Schule vorbereiten.	We want to prepare the children for school as well as possible.	optimal
das Finanzamt	Die Steuererklärung muss bis Ende Juli beim Finanzamt sein.	The tax return has to be with the tax office by the end of July.
geltend	Nach geltendem Recht ist die Kündigung unwirksam.	Under applicable law the dismissal is invalid.	gültig
minimieren	Durch Übung lässt sich die Fehlerzahl deutlich minimieren.	With practice the number of errors can be considerably minimised.	verringern|reduzieren
systematisch	Die Bibliothek wurde systematisch nach Sachgebieten geordnet.	The library was systematically arranged by subject area.	planmäßig|methodisch
die Abhilfe	Ein zweiter Server schaffte schnelle Abhilfe.	A second server provided a quick remedy.	Lösung|Besserung
ausweiten	Der Streik wurde auf weitere Betriebe ausgeweitet.	The strike was extended to further plants.	ausdehnen|erweitern
eigenständig	Die Tochterfirma arbeitet völlig eigenständig.	The subsidiary operates completely independently.	selbstständig|unabhängig
europaweit	Das Produkt wird europaweit ausgeliefert.	The product is delivered Europe-wide.
die Konstellation	In dieser Konstellation hat der Antrag keine Chance.	In this constellation the motion has no chance.	Zusammensetzung
die Novelle	Die Novelle erzählt eine einzige unerhörte Begebenheit.	The novella tells of a single unheard-of event.	Erzählung
die Resolution	Der Sicherheitsrat verabschiedete eine Resolution.	The Security Council adopted a resolution.	Entschließung
