# C2 second examples + synonyms — batch 01 (110 cards)
prägnant	Der Titel ist prägnant und bleibt im Gedächtnis.	The title is concise and sticks in the memory.	knapp|treffend
die Wahrheit	Er sagte die Wahrheit, aber nicht die ganze.	He told the truth, but not the whole truth.
der Zweifel	An ihrer Zuständigkeit besteht kein Zweifel.	There is no doubt about her competence in this matter.	Bedenken|Skepsis
die Vernunft	Am Ende siegte die Vernunft über den Stolz.	In the end reason prevailed over pride.	Verstand|Einsicht
das Bewusstsein	Nach dem Sturz erlangte er das Bewusstsein rasch wieder.	After the fall he quickly regained consciousness.
das Dasein	Sie fristete jahrelang ein Dasein am Rand der Gesellschaft.	For years she eked out an existence at the margins of society.	Existenz|Leben
die Wahrnehmung	Die öffentliche Wahrnehmung eines Risikos folgt selten der Statistik.	Public perception of a risk rarely follows the statistics.
ergründen	Warum das Verfahren scheiterte, ließ sich nie ganz ergründen.	Why the procedure failed could never be fully fathomed.	erforschen|durchschauen
die Tugend	Aus der Not eine Tugend zu machen, ist ihre Spezialität.	Making a virtue of necessity is her speciality.
die Willensfreiheit	Ohne Willensfreiheit verlöre der Begriff der Schuld seinen Sinn.	Without free will the concept of guilt would lose its meaning.
abstrakt	Erklär es bitte weniger abstrakt und mit einem Beispiel.	Please explain it less abstractly and with an example.	theoretisch|begrifflich
der Erzähler	Der Erzähler tritt im letzten Kapitel selbst als Figur auf.	In the final chapter the narrator himself appears as a character.
die Perspektive	Aus der Perspektive der Betroffenen sieht die Reform anders aus.	From the perspective of those affected the reform looks different.	Blickwinkel|Sicht
der Rückblick	Im Rückblick war der Umweg die bessere Entscheidung.	In retrospect the detour was the better decision.	Rückschau
das Motiv	Das Motiv der Reise kehrt in allen ihren Romanen wieder.	The motif of the journey recurs in all her novels.	Leitmotiv|Thema
das Symbol	Der Schlüssel ist in diesem Film ein Symbol für Vertrauen.	In this film the key is a symbol of trust.	Sinnbild|Zeichen
die Mehrdeutigkeit	Juristische Texte fürchten die Mehrdeutigkeit, Gedichte suchen sie.	Legal texts fear ambiguity; poems seek it out.	Vieldeutigkeit|Ambiguität
deuten	Wie ist dieses lange Schweigen zu deuten?	How is this long silence to be interpreted?	auslegen|interpretieren
die Bildsprache	Die Bildsprache der Werbung greift alte Märchenmotive auf.	The imagery of advertising picks up old fairy-tale motifs.
die Stilebene	Der Brief trifft die Stilebene nicht: zu salopp für einen Antrag.	The letter misses the register: too casual for an application.
vieldeutig	Seine Antwort war vieldeutig genug, um niemanden festzulegen.	His answer was ambiguous enough not to commit anyone.	mehrdeutig|doppeldeutig
der Tatbestand	Der objektive Tatbestand war erfüllt, der Vorsatz fehlte.	The objective elements of the offence were met; intent was lacking.	Sachverhalt
die Rechtsprechung	Nach ständiger Rechtsprechung gilt hier die kürzere Frist.	According to settled case law the shorter deadline applies here.	Judikatur
ahnden	Doping wird mit einer mehrjährigen Sperre geahndet.	Doping is penalised with a ban of several years.	bestrafen|sanktionieren
die Sittlichkeit	Die Sittlichkeit einer Gesellschaft zeigt sich im Umgang mit den Schwächsten.	A society's morality shows in how it treats the weakest.	Moral
vertretbar	Ein Restrisiko ist vertretbar, ein fahrlässiges nicht.	A residual risk is defensible, a negligent one is not.	verantwortbar|akzeptabel
die Schuld	An dem Unfall trug er keine Schuld.	He bore no fault for the accident.	Verschulden
die Haftung	Die Haftung des Vereins ist auf sein Vermögen beschränkt.	The association's liability is limited to its assets.
die Zurechnungsfähigkeit	Über die Zurechnungsfähigkeit entscheidet ein Gutachten.	An expert opinion decides on criminal responsibility.
verantworten	Solche Kürzungen kann ich vor der Belegschaft nicht verantworten.	I cannot answer for such cuts before the workforce.	rechtfertigen
die Herrschaft	Unter seiner Herrschaft verdoppelte sich das Reich.	Under his rule the empire doubled in size.	Macht|Regentschaft
die Legitimität	Der Verweis auf alte Traditionen verleiht noch keine Legitimität.	An appeal to old traditions does not in itself confer legitimacy.	Rechtmäßigkeit|Anerkennung
die Autorität	Er berief sich auf eine Autorität, die niemand nachprüfen konnte.	He invoked an authority nobody could verify.	Ansehen|Geltung
einflussreich	Ein einflussreicher Kreis von Verlegern entschied damals, was gedruckt wurde.	An influential circle of publishers decided back then what got printed.	mächtig|maßgeblich
der Euphemismus	Der Bericht ist voller Euphemismen für Gewalt.	The report is full of euphemisms for violence.	Beschönigung|Hüllwort
die Parole	Auf den Transparenten standen dieselben Parolen wie vor zwanzig Jahren.	The banners bore the same slogans as twenty years ago.	Losung|Motto
das Schlagwort	Nachhaltigkeit ist längst zum Schlagwort geworden.	Sustainability has long since become a buzzword.	Modewort
die Propaganda	Zwischen Werbung und Propaganda verläuft die Grenze fließend.	The line between advertising and propaganda is a fluid one.	Agitation
die Suggestion	Die Frage enthält bereits eine Suggestion und ist deshalb unzulässig.	The question already contains an insinuation and is therefore inadmissible.	Beeinflussung
beschönigen	Der Bericht beschönigt nichts und nennt die Verantwortlichen.	The report glosses over nothing and names those responsible.	schönreden|verharmlosen
die Methode	Die Methode ist alt, das Ergebnis überraschend neu.	The method is old, the result surprisingly new.	Verfahren|Vorgehen
das Modell	Das Modell erklärt die Daten, aber nicht die Ausnahmen.	The model explains the data but not the exceptions.
das Paradigma	Ein neues Paradigma setzt sich selten durch Argumente allein durch.	A new paradigm rarely prevails through arguments alone.
die Annahme	Die Annahme erwies sich schon nach wenigen Versuchen als falsch.	The assumption proved false after only a few experiments.	Vermutung|Hypothese
die Gegenthese	Seine Gegenthese ist provokanter als die These selbst.	His counter-thesis is more provocative than the thesis itself.
die Falsifizierung	Eine einzige Beobachtung genügt zur Falsifizierung.	A single observation suffices for falsification.	Widerlegung
verifizieren	Die Angaben ließen sich anhand der Belege verifizieren.	The statements could be verified against the receipts.	überprüfen|bestätigen
die Tragweite	Er unterschätzte die Tragweite seiner Zusage.	He underestimated the scope of his commitment.	Bedeutung|Konsequenz
die Ungewissheit	Die Ungewissheit zermürbte die Familie mehr als die Nachricht selbst.	The uncertainty wore the family down more than the news itself.	Unsicherheit
vorläufig	Die Zahlen sind vorläufig und werden im Mai korrigiert.	The figures are provisional and will be corrected in May.	provisorisch|einstweilig
die Redewendung	Viele Redewendungen stammen aus Handwerk und Seefahrt.	Many idioms come from craft trades and seafaring.	Wendung
das Sprichwort	Für jede Lebenslage gibt es ein passendes Sprichwort.	There is a fitting proverb for every situation in life.
die Floskel	Verzichten Sie im Anschreiben auf Floskeln.	Do without empty phrases in your covering letter.	Phrase|Gemeinplatz
das Register	Sie beherrscht alle Register vom Amtsdeutsch bis zum Slang.	She commands every register from officialese to slang.
der Beiklang	Das Wort trägt einen deutlich abwertenden Beiklang.	The word carries a clearly pejorative overtone.	Beigeschmack
die Umgangssprache	In der Umgangssprache verschwindet der Genitiv allmählich.	In colloquial language the genitive is gradually disappearing.
die Nuance	Zwischen den beiden Formulierungen liegt eine feine Nuance.	Between the two formulations lies a fine nuance.	Feinheit|Abstufung
der Unterton	Der freundliche Satz hatte einen drohenden Unterton.	The friendly sentence had a threatening undertone.	Beiklang
abtönen	Ein „eigentlich“ tönt die Absage höflich ab.	An "eigentlich" softens the refusal politely.
treffend	Der Vergleich ist so treffend, dass er wehtut.	The comparison is so apt that it hurts.	passend|zutreffend
die Ästhetik	Die Ästhetik der Serie zitiert das Kino der Siebziger.	The aesthetics of the series quote the cinema of the seventies.	Formsprache
das Erhabene	Vor dem Gletscher stellt sich jenes Gefühl des Erhabenen ein.	Before the glacier that feeling of the sublime sets in.
die Harmonie	In der Familie herrschte nach Jahren endlich wieder Harmonie.	After years there was finally harmony in the family again.	Eintracht|Einklang
der Kitsch	Was gestern Kitsch war, hängt heute im Museum.	What was kitsch yesterday hangs in a museum today.
der Mainstream	Der Roman schaffte den Sprung aus der Nische in den Mainstream.	The novel made the leap from niche to mainstream.
die Avantgarde	Die Avantgarde von heute ist der Kanon von morgen.	Today's avant-garde is tomorrow's canon.
der Geschmack	Die Einrichtung zeugt von sicherem Geschmack.	The furnishings testify to sure taste.
das Werturteil	Die Formulierung enthält ein verstecktes Werturteil.	The wording contains a hidden value judgement.
würdigen	In der Laudatio würdigte er ihre Verdienste um das Fach.	In the eulogy he acknowledged her services to the discipline.	anerkennen|ehren
geschmackvoll	Die Einladung war schlicht und geschmackvoll gestaltet.	The invitation was designed simply and tastefully.	stilvoll
die Herausforderung	Für die kleine Firma war der Auftrag eine echte Herausforderung.	For the small company the contract was a real challenge.	Aufgabe|Probe
die Ressourcenknappheit	Ressourcenknappheit treibt die Preise stärker als die Nachfrage.	Scarcity of resources drives prices more than demand does.
die Umwälzung	Die industrielle Umwälzung veränderte auch die Familie.	The industrial upheaval changed the family too.	Revolution|Umbruch
zukunftsfähig	Eine zukunftsfähige Stadt braucht Schatten und Wasser.	A city fit for the future needs shade and water.	nachhaltig
das Vermächtnis	Das Haus war ein Vermächtnis ihrer Tante.	The house was a bequest from her aunt.	Erbe|Nachlass
die Verpflichtung	Seiner Verpflichtung kam er erst nach der Mahnung nach.	He met his obligation only after the reminder.	Pflicht|Zusage
die Weitsicht	Der Planung fehlte es an Weitsicht, nicht an Geld.	The planning lacked foresight, not money.	Voraussicht|Umsicht
das Szenario	Für den Ernstfall gibt es ein mehrfach durchgespieltes Szenario.	For an emergency there is a scenario rehearsed several times.
die Hochrechnung	Die Hochrechnung lag am Ende um zwei Punkte daneben.	In the end the projection was two points off.	Prognose|Schätzung
absehen	Wann die Lieferung eintrifft, ist derzeit nicht abzusehen.	When the delivery will arrive cannot currently be foreseen.	vorhersehen
den Nagel auf den Kopf treffen	Ihre Analyse trifft den Nagel auf den Kopf.	Her analysis hits the nail on the head.
die Katze im Sack kaufen	Wer eine Wohnung ungesehen mietet, kauft die Katze im Sack.	Anyone renting a flat sight unseen is buying a pig in a poke.
Tomaten auf den Augen haben	Wer dieses Schild übersieht, hat wirklich Tomaten auf den Augen.	Anyone who misses this sign really is blind to the obvious.
ins Fettnäpfchen treten	Auf Betriebsfeiern tritt er zuverlässig ins Fettnäpfchen.	At office parties he reliably puts his foot in it.
die Flinte ins Korn werfen	Kurz vor dem Ziel darf man die Flinte nicht ins Korn werfen.	Just before the finish you mustn't throw in the towel.
aus dem Nähkästchen plaudern	Nach dem dritten Glas plauderte sie aus dem Nähkästchen.	After the third glass she started spilling the beans.
jemandem reinen Wein einschenken	Der Arzt schenkte ihm schließlich reinen Wein ein.	The doctor finally came clean with him.
auf dem Holzweg sein	Mit dieser Vermutung sind Sie völlig auf dem Holzweg.	With this assumption you are completely barking up the wrong tree.
über den Tellerrand schauen	Wer nie über den Tellerrand schaut, wiederholt nur Bekanntes.	Anyone who never thinks outside the box merely repeats the familiar.
die Daumen drücken	Wir drücken euch beim Wettbewerb alle Daumen.	We're all keeping our fingers crossed for you in the competition.
jemandem auf die Nerven gehen	Das Geräusch der Klimaanlage geht mir auf die Nerven.	The noise of the air conditioning is getting on my nerves.
