# C1 second examples + synonyms — batch 03 (120 cards)
die Mehrsprachigkeit	Die Schule versteht Mehrsprachigkeit ausdrücklich als Chance.	The school explicitly regards multilingualism as an opportunity.	Vielsprachigkeit
einlenken	Erst als der öffentliche Druck wuchs, lenkte die Firma ein.	Only when public pressure grew did the company back down.	nachgeben
diplomatisch	Auf diplomatischem Weg ließ sich der Konflikt entschärfen.	The conflict could be defused by diplomatic means.	taktvoll
verbindlich	Bitte melden Sie sich verbindlich bis Freitag an.	Please register bindingly by Friday.	bindend|zuverlässig
die Absichtserklärung	Beide Seiten unterzeichneten eine gemeinsame Absichtserklärung.	Both sides signed a joint declaration of intent.
die Maßnahme	Die Maßnahme greift erst im kommenden Jahr.	The measure only takes effect next year.	Schritt|Vorkehrung
das Szenario	Für jedes Szenario haben wir einen eigenen Plan.	We have a separate plan for every scenario.
indem	Sie beruhigte das Kind, indem sie ihm eine Geschichte erzählte.	She calmed the child by telling it a story.
folglich	Er hatte keinen Vertrag, folglich auch keinen Anspruch.	He had no contract and consequently no claim either.	deshalb
systemisch	Die Bank gilt als systemisch relevant.	The bank is regarded as systemically important.
die Verflechtung	Die Verflechtung der Lieferketten macht Störungen ansteckend.	The interconnection of supply chains makes disruptions contagious.
die Ungleichheit	Die Ungleichheit beim Vermögen ist größer als beim Einkommen.	Inequality in wealth is greater than in income.
die Entwicklungspolitik	Die Entwicklungspolitik hat sich von reiner Hilfe verabschiedet.	Development policy has moved away from pure aid.
die Globalisierungskritik	Die Globalisierungskritik ist längst im Mainstream angekommen.	The critique of globalisation has long since reached the mainstream.
die interkulturelle Kompetenz	Für den Posten wird interkulturelle Kompetenz vorausgesetzt.	Intercultural competence is a prerequisite for the post.
gleichwohl	Der Beweis fehlt; gleichwohl bleibt der Verdacht bestehen.	The proof is missing; nevertheless the suspicion remains.	dennoch|trotzdem
bestreiten	Den Vorwurf der Untreue bestreitet sie entschieden.	She firmly disputes the accusation of breach of trust.	abstreiten|leugnen
global	Das Unternehmen agiert global, entscheidet aber lokal.	The company operates globally but decides locally.	weltweit
transnational	Die Bewegung organisiert sich transnational über soziale Netzwerke.	The movement organises transnationally via social networks.
der Populismus	Populismus ist keine Ideologie, sondern ein Stil.	Populism is not an ideology but a style.
die Zivilcourage	Zivilcourage zeigt sich, wenn niemand zusieht.	Moral courage shows itself when nobody is watching.
die Volksabstimmung	Über den Beitritt soll eine Volksabstimmung entscheiden.	A referendum is to decide on accession.	Referendum|Volksentscheid
das Fehlbild	Von diesem Fehlbild lebt manche politische Debatte.	Many a political debate lives off this misconception.
die Gewaltenteilung	Die Gewaltenteilung trennt Gesetzgebung, Verwaltung und Rechtsprechung.	The separation of powers divides legislation, administration and the judiciary.
die Pressefreiheit	Das Land ist in der Rangliste der Pressefreiheit abgerutscht.	The country has slipped in the press freedom rankings.
angewiesen sein auf	Nach dem Unfall war er auf fremde Hilfe angewiesen.	After the accident he was dependent on other people's help.
wehrhaft	Der Begriff der wehrhaften Demokratie stammt aus der Nachkriegszeit.	The concept of a defensible democracy dates from the post-war era.
repräsentativ	Für ein repräsentatives Ergebnis braucht es deutlich mehr Befragte.	A representative result requires considerably more respondents.
die Unternehmensführung	Die Unternehmensführung räumte erstmals Fehler ein.	The company's management admitted mistakes for the first time.	Geschäftsleitung|Management
die Gewinnmaximierung	Gewinnmaximierung und Verantwortung schließen sich nicht aus, sagt der Vorstand.	Profit maximisation and responsibility are not mutually exclusive, says the board.
die Automatisierung	Durch die Automatisierung sank die Fehlerquote deutlich.	Automation significantly reduced the error rate.
das CSR	Ohne messbare Ziele bleibt CSR ein Feigenblatt.	Without measurable targets, CSR remains a fig leaf.
die Wertschöpfungskette	Die Firma kontrolliert die Wertschöpfungskette vom Rohstoff bis zum Laden.	The company controls the value chain from raw material to shop.
die Lieferkette	Während der Pandemie riss die Lieferkette an mehreren Stellen.	During the pandemic the supply chain broke in several places.
ausrichten auf	Der Lehrplan ist stark auf Prüfungen ausgerichtet.	The curriculum is heavily oriented towards exams.
ignorieren	Sie ignorierte die Zwischenrufe und sprach ruhig weiter.	She ignored the heckling and calmly carried on speaking.	übergehen|missachten
kurzfristig	Kurzfristige Gewinne interessieren die Stiftung nicht.	Short-term gains are of no interest to the foundation.
langfristig	Langfristig zahlt sich die Investition mehrfach aus.	In the long term the investment pays for itself several times over.
die künstliche Intelligenz	Künstliche Intelligenz steckt heute in jedem Sprachassistenten.	Artificial intelligence is in every voice assistant today.
die Digitalisierung	Die Digitalisierung hat den Handel grundlegend verändert.	Digitalisation has fundamentally changed retail.
die Datensicherheit	Für die Datensicherheit ist die Geschäftsführung verantwortlich.	Management is responsible for data security.
das Zukunftsszenario	Das optimistische Zukunftsszenario setzt auf schnelle Innovation.	The optimistic future scenario relies on rapid innovation.
die Routinetätigkeit	Nach der Umstellung blieb kaum eine Routinetätigkeit übrig.	After the changeover hardly any routine task was left.
übernehmen	Er übernahm die Formulierung wörtlich aus der Vorlage.	He adopted the wording verbatim from the template.	annehmen|fortführen
bergen	Der Plan birgt mehr Chancen als Gefahren.	The plan harbours more opportunities than dangers.	enthalten|beinhalten
erheblich	Zwischen den Angeboten besteht ein erheblicher Preisunterschied.	There is a considerable price difference between the offers.	beträchtlich|deutlich
unkontrolliert	Das Feuer breitete sich unkontrolliert über den Hang aus.	The fire spread uncontrolled across the slope.	ungebremst
die Identität	Sie musste ihre Identität mit dem Ausweis nachweisen.	She had to prove her identity with her ID card.
die Zugehörigkeit	Die religiöse Zugehörigkeit wird bei der Bewerbung nicht erfasst.	Religious affiliation is not recorded in the application.
das Selbstbild	Ein Scheitern passt nicht in sein Selbstbild.	Failure does not fit his self-image.
die Hegemonie	Die wirtschaftliche Hegemonie verschiebt sich nach Asien.	Economic hegemony is shifting to Asia.	Vorherrschaft
der Diskurs	Im wissenschaftlichen Diskurs zählen Argumente, nicht Titel.	In academic discourse arguments count, not titles.	Debatte
die Biografie	Er schreibt an einer Biografie über seinen Großvater.	He is working on a biography of his grandfather.	Lebensbeschreibung
reflektieren	Nach jedem Projekt reflektieren wir gemeinsam den Verlauf.	After every project we reflect together on how it went.	hinterfragen
mehrsprachig	Die Website erscheint mehrsprachig.	The website appears in several languages.
einsprachig	In einsprachigen Klassen fehlt dieser Vergleich.	In monolingual classes this comparison is missing.
der Leitzins	Sinkt der Leitzins, werden Kredite billiger.	If the key interest rate falls, loans become cheaper.
die Liquidität	Kurzfristige Liquidität sichert das Überleben, nicht den Erfolg.	Short-term liquidity secures survival, not success.
die Zinswende	Die Zinswende traf hoch verschuldete Firmen zuerst.	The interest-rate turnaround hit heavily indebted firms first.
die Volatilität	Bei hoher Volatilität sind Verluste schnell möglich.	With high volatility, losses can occur quickly.	Schwankung
der Vermögenswert	Der wichtigste Vermögenswert des Konzerns ist die Marke.	The group's most important asset is its brand.
der Abschwung	Im Abschwung sinken zuerst die Investitionen.	In a downturn investment falls first.	Rezession|Talfahrt
das Risiko streuen	Fonds streuen das Risiko über viele Branchen.	Funds spread the risk across many sectors.
Bullen- vs. Bärenmarkt	Ob Bullen- oder Bärenmarkt: Der Sparplan läuft einfach weiter.	Bull market or bear market, the savings plan simply carries on.
etwas auf Pump kaufen	Das Auto hat er auf Pump gekauft.	He bought the car on credit.
die Ummeldung	Die Ummeldung muss binnen zwei Wochen erfolgen.	The re-registration has to take place within two weeks.
die Wohnungsgeberbestätigung	Der Vermieter schickte die Wohnungsgeberbestätigung per Post.	The landlord sent the confirmation of residence by post.
das Grundbuch	Ein Blick ins Grundbuch klärt, wem das Haus gehört.	A look at the land register clarifies who owns the house.
die Genossenschaft	Sie steht seit Jahren auf der Warteliste einer Genossenschaft.	She has been on a cooperative's waiting list for years.
eine Kaution hinterlegen	Wer eine Kaution hinterlegt, bekommt sie am Ende zurück.	Whoever puts down a deposit gets it back in the end.
das Sprachmodell	Ein Sprachmodell weiß nichts, es schätzt.	A language model knows nothing; it estimates.
die Rechenleistung	Die nötige Rechenleistung mieten Firmen heute in der Cloud.	Companies now rent the necessary computing power in the cloud.
der Quellcode	Ohne Quellcode lässt sich der Fehler nicht finden.	Without the source code the bug cannot be found.
die Trainingsdaten	Woher die Trainingsdaten stammen, bleibt oft unklar.	Where the training data comes from often remains unclear.
quelloffene Software	Quelloffene Software lässt sich prüfen und anpassen.	Open-source software can be inspected and adapted.
etwas in Echtzeit verarbeiten	Die Kamera verarbeitet das Bild in Echtzeit.	The camera processes the image in real time.
der Gesetzentwurf	Der Gesetzentwurf geht nun in die zweite Lesung.	The bill now goes into its second reading.	Gesetzesvorlage
die Energiewende	Die Energiewende scheitert seltener an der Technik als an den Leitungen.	The energy transition fails less often because of technology than because of power lines.
die Wahlbeteiligung	Bei Regen sinkt die Wahlbeteiligung erfahrungsgemäß.	Experience shows that voter turnout falls when it rains.
der CO₂-Ausstoß	Der CO₂-Ausstoß pro Kopf ist hier doppelt so hoch.	Per capita CO₂ emissions are twice as high here.
die Subvention	Die Subventionen für Diesel stehen auf dem Prüfstand.	Subsidies for diesel are under review.	Zuschuss|Förderung
der Treibhauseffekt	Ohne den natürlichen Treibhauseffekt wäre die Erde unbewohnbar.	Without the natural greenhouse effect the earth would be uninhabitable.
die Verkehrswende	Ohne bezahlbaren Nahverkehr bleibt die Verkehrswende Theorie.	Without affordable local transport the transport transition remains theory.
auf Kosten künftiger Generationen	Dieser Konsum geht auf Kosten künftiger Generationen.	This consumption comes at the expense of future generations.
die Auseinandersetzung	Die Auseinandersetzung mit dem Thema hat Jahre gedauert.	Engaging with the subject took years.	Beschäftigung
der Sachverhalt	Der Sachverhalt ist komplizierter, als die Schlagzeile nahelegt.	The facts are more complicated than the headline suggests.	Tatbestand|Sachlage
die Hinsicht	In finanzieller Hinsicht war das Jahr erfolgreich.	In financial terms the year was a success.
der Aspekt	Unter diesem Aspekt betrachtet, ergibt der Plan Sinn.	Viewed from this aspect, the plan makes sense.	Gesichtspunkt|Blickwinkel
die Gliederung	Die Gliederung steht, jetzt fehlt nur noch der Text.	The outline is done; all that's missing now is the text.	Aufbau|Struktur
hervorheben	Der Bericht hebt die Rolle der Ehrenamtlichen hervor.	The report emphasises the role of the volunteers.	betonen|unterstreichen
verdeutlichen	Die Zahlen verdeutlichen, wie groß der Rückstand ist.	The figures make clear how big the shortfall is.	veranschaulichen|klarmachen
erläutern	Können Sie das an einem Beispiel erläutern?	Could you explain that with an example?	erklären|darlegen
gegenüberstellen	Die Tabelle stellt beide Verfahren gegenüber.	The table contrasts the two procedures.	vergleichen
zusammenfassen	Der Artikel lässt sich in einem einzigen Satz zusammenfassen.	The article can be summarised in a single sentence.	resümieren
hingegen	Im Norden regnete es, im Süden hingegen schien die Sonne.	It rained in the north; in the south, by contrast, the sun shone.	dagegen
dementsprechend	Er hatte kaum geübt und schnitt dementsprechend ab.	He had barely practised and performed accordingly.	entsprechend
maßgeblich	Für die Frist ist allein das Datum des Poststempels maßgeblich.	Only the postmark date is decisive for the deadline.	entscheidend|ausschlaggebend
die Gesetzgebung	Die Gesetzgebung liegt beim Bundestag.	Legislation is the responsibility of the Bundestag.	Legislative
die Staatsgewalt	Die Staatsgewalt ist an Recht und Gesetz gebunden.	State authority is bound by law and justice.
die Bürgerbeteiligung	Die Bürgerbeteiligung blieb auf eine einzige Anhörung beschränkt.	Civic participation was limited to a single hearing.
die Amtszeit	Seine Amtszeit endet im Frühjahr.	His term of office ends in spring.
