# C2 second examples + synonyms — batch 02 (104 cards)
das Handtuch werfen	Nach dem dritten Fehlversuch warf sie das Handtuch.	After the third failed attempt she gave up.
die Heuristik	Jede Heuristik erkauft Geschwindigkeit mit Genauigkeit.	Every heuristic buys speed at the cost of accuracy.	Faustregel
der Topos	Der Topos der verlorenen Heimat kehrt in der Exilliteratur wieder.	The topos of the lost homeland recurs in exile literature.	Gemeinplatz
das Narrativ	Das Narrativ vom Aufstieg durch Fleiß hält sich hartnäckig.	The narrative of rising through hard work persists stubbornly.	Erzählung
die Disruption	Die Disruption traf den stationären Einzelhandel zuerst.	The disruption hit bricks-and-mortar retail first.	Umbruch
die Polarisierung	Die Polarisierung beginnt in den Kommentarspalten.	The polarisation begins in the comment sections.	Spaltung
die Marginalisierung	Die Marginalisierung ganzer Regionen war politisch gewollt.	The marginalisation of whole regions was politically intended.	Ausgrenzung
die Stigmatisierung	Eine offene Debatte kann Stigmatisierung abbauen.	An open debate can reduce stigmatisation.	Brandmarkung
die Instrumentalisierung	Die Instrumentalisierung des Themas im Wahlkampf war absehbar.	The instrumentalisation of the topic in the campaign was predictable.
die Pauschalisierung	Jede Pauschalisierung verliert genau das Interessante.	Every generalisation loses precisely what is interesting.	Verallgemeinerung
die Relativierung	Eine Relativierung der Zahlen ist noch keine Entwarnung.	Putting the figures into perspective is not yet an all-clear.	Abschwächung
der Gemeinplatz	Über den Gemeinplatz hinaus sagte er an dem Abend nichts.	Beyond the platitude he said nothing that evening.	Floskel|Binsenweisheit
die Chiffre	Der Name steht als Chiffre für eine ganze Epoche.	The name stands as a cipher for an entire epoch.	Code|Sinnbild
die Allegorie	Die Höhle ist bei Platon eine Allegorie der Erkenntnis.	In Plato the cave is an allegory of knowledge.	Gleichnis
die Hyperbel	Die Hyperbel „tausendmal gesagt“ bedeutet schlicht: oft.	The hyperbole "said a thousand times" simply means: often.	Übertreibung
die Ambiguität	Die Ambiguität des Begriffs macht ihn politisch brauchbar.	The ambiguity of the term makes it politically useful.	Mehrdeutigkeit|Vieldeutigkeit
die Subtilität	Der Inszenierung fehlt jede Subtilität.	The production lacks all subtlety.	Feinsinn|Feinheit
die Vehemenz	Die Vehemenz des Widerspruchs überraschte alle Beteiligten.	The vehemence of the opposition surprised everyone involved.	Heftigkeit|Nachdruck
die Akribie	Sie prüfte die Abrechnung mit geradezu buchhalterischer Akribie.	She checked the accounts with almost bookkeeperly meticulousness.	Sorgfalt|Genauigkeit
die Stringenz	Was dem Aufsatz an Stringenz fehlt, ersetzt er durch Belege.	What the essay lacks in rigour it makes up for with evidence.	Folgerichtigkeit|Schlüssigkeit
die Kontextualisierung	Erst die Kontextualisierung macht die Zahl aussagekräftig.	Only contextualisation makes the figure meaningful.	Einordnung
die Differenzierung	Bei aller Differenzierung bleibt der Befund eindeutig.	For all the differentiation the finding remains unambiguous.	Unterscheidung|Abstufung
die Verdichtung	Das Gedicht lebt von der Verdichtung weniger Bilder.	The poem lives off the condensation of a few images.	Konzentration
die Engführung	Die Engführung der Debatte auf Kosten verdeckt die eigentliche Frage.	Narrowing the debate to costs obscures the real question.	Verengung
konstatieren	Der Prüfer konstatierte erhebliche Mängel.	The inspector ascertained considerable defects.	feststellen
suggerieren	Das Foto suggeriert Nähe, wo in Wahrheit Distanz herrschte.	The photo suggests closeness where in truth there was distance.	nahelegen
konnotieren	„Heimat“ konnotiert für viele Enge, für andere Geborgenheit.	For many "Heimat" connotes narrowness, for others security.
subsumieren	Der Sachverhalt lässt sich unter keinen Straftatbestand subsumieren.	The facts cannot be subsumed under any criminal offence.	einordnen
antizipieren	Der Markt antizipiert die Zinssenkung bereits.	The market is already anticipating the interest rate cut.	vorwegnehmen|vorhersehen
kontextualisieren	Das Zitat ist richtig wiedergegeben, aber falsch kontextualisiert.	The quotation is reproduced correctly but contextualised wrongly.	einordnen
konterkarieren	Ein neues Schlupfloch konterkariert das gesamte Gesetz.	A new loophole thwarts the entire law.	durchkreuzen|unterlaufen
kaschieren	Frische Farbe kaschiert die Risse nur für eine Saison.	Fresh paint conceals the cracks for one season only.	verbergen|überdecken
negieren	Er negiert die Existenz eines Problems, das alle anderen sehen.	He negates the existence of a problem everyone else can see.	verneinen|bestreiten
oszillieren	Der Kurs oszilliert seit Wochen um denselben Wert.	The price has been oscillating around the same value for weeks.	schwanken|pendeln
transzendieren	Ihre Musik transzendiert die Grenzen der Genres.	Her music transcends the boundaries of genre.	überschreiten
perpetuieren	Die Regelung perpetuiert genau die Ungleichheit, die sie beheben soll.	The rule perpetuates precisely the inequality it is meant to remedy.	fortschreiben|verfestigen
kulminieren	Der Abend kulminierte in einem gemeinsamen Lied.	The evening culminated in a song sung together.	gipfeln
eskalieren	Die Lage eskalierte innerhalb weniger Stunden.	The situation escalated within a few hours.	verschärfen
sich verselbstständigen	Aus dem Projekt hat sich inzwischen eine eigene Firma verselbstständigt.	A separate company has since spun off from the project.
ins Wanken geraten	Die Mehrheit der Regierung geriet erstmals ins Wanken.	For the first time the government's majority began to falter.
zutage treten	Erst nach Jahren trat der wahre Umfang des Schadens zutage.	Only after years did the true extent of the damage come to light.
Einzug halten	In vielen Behörden hält die digitale Akte erst jetzt Einzug.	In many public offices the digital file is only now taking hold.
Überhand nehmen	Wenn die Formulare überhandnehmen, bleibt keine Zeit für Patienten.	When the forms get out of hand, no time is left for patients.
idiosynkratisch	Seine idiosynkratische Zeichensetzung erschwert das Lesen.	His idiosyncratic punctuation makes reading harder.	eigenwillig
ubiquitär	Mikroplastik ist inzwischen ubiquitär nachweisbar.	Microplastic can by now be detected ubiquitously.	allgegenwärtig
immanent	Der Kritik ist ein Widerspruch immanent.	A contradiction is inherent in the criticism.	innewohnend
inhärent	Dem Verfahren ist eine gewisse Unschärfe inhärent.	A certain vagueness is inherent in the procedure.	innewohnend|eigen
ambivalent	Die Reaktionen auf den Vorschlag fielen ambivalent aus.	Reactions to the proposal were ambivalent.	zwiespältig|widersprüchlich
dezidiert	Sie widersprach dezidiert und ohne Umschweife.	She objected emphatically and without beating about the bush.	entschieden|nachdrücklich
eklatant	Der Unterschied zwischen Anspruch und Praxis ist eklatant.	The difference between aspiration and practice is blatant.	offenkundig|krass
frappierend	Die Ergebnisse sind frappierend eindeutig.	The results are strikingly unambiguous.	verblüffend|erstaunlich
gravitätisch	Mit gravitätischen Schritten durchquerte er den Saal.	With solemn steps he crossed the hall.	würdevoll|feierlich
lapidar	In lapidaren Sätzen schildert der Bericht die Katastrophe.	In terse sentences the report describes the disaster.	knapp|nüchtern
nuanciert	Ein nuanciertes Urteil braucht mehr als zwei Zeilen.	A nuanced judgement needs more than two lines.	differenziert|abgestuft
rekurrent	Rekurrente Infekte deuten auf ein tieferes Problem hin.	Recurrent infections point to a deeper problem.	wiederkehrend
subversiv	Der Witz wirkt harmlos und ist doch zutiefst subversiv.	The joke seems harmless and is yet deeply subversive.
suggestiv	Ein suggestiver Vorspann lenkt die Deutung der Bilder.	A suggestive opening steers the interpretation of the images.	beeinflussend
tendenziös	Die Auswahl der Zitate ist offen tendenziös.	The selection of quotations is openly tendentious.	einseitig|voreingenommen
konziliant	Der Vorsitzende reagierte konziliant und bot einen Kompromiss an.	The chairman reacted conciliatorily and offered a compromise.	versöhnlich|entgegenkommend
kohärent	Eine kohärente Strategie erkennt man daran, dass sie Dinge auslässt.	You recognise a coherent strategy by what it leaves out.	stimmig|zusammenhängend
diametral	Beide Studien kommen zu diametral verschiedenen Ergebnissen.	The two studies arrive at diametrically different results.	entgegengesetzt
exemplarisch	Die Restaurierung gilt als exemplarisch gelungen.	The restoration is regarded as exemplary in its success.	beispielhaft|mustergültig
kategorisch	Ein kategorisches Nein beendet jede Verhandlung.	A categorical no ends any negotiation.	strikt
paradox	Sparen kann in der Krise paradoxe Folgen haben.	In a crisis, saving can have paradoxical consequences.	widersprüchlich|widersinnig
profund	Die Rezension zeugt von profunder Sachkenntnis.	The review testifies to profound expertise.	gründlich|tiefgehend
rudimentär	Die alte Anlage funktioniert nur noch rudimentär.	The old plant functions only rudimentarily now.	ansatzweise|unvollständig
marginal	Die Partei blieb im Parlament marginal.	The party remained marginal in parliament.	geringfügig|nebensächlich
obsolet	Mit der neuen Fassung wird die alte Vorschrift obsolet.	With the new version the old regulation becomes obsolete.	überholt|hinfällig
redundant	Die dritte Sicherung ist bewusst redundant ausgelegt.	The third safeguard is deliberately designed to be redundant.	überflüssig|doppelt
kontraproduktiv	Ständiges Nachfragen wirkt hier eher kontraproduktiv.	Constant checking is rather counterproductive here.
mithin	Der Antrag war verspätet, mithin unzulässig.	The application was late and consequently inadmissible.	folglich|somit
gleichwohl	Die Lage ist ernst; gleichwohl besteht kein Grund zur Panik.	The situation is serious; nonetheless there is no cause for panic.	dennoch|trotzdem
indes	Er versprach Aufklärung; geschehen ist indes wenig.	He promised clarification; little, however, has happened.	jedoch|allerdings
vorderhand	Vorderhand bleibt der Betrieb geöffnet.	For the time being the business stays open.	vorerst|einstweilen
zusehends	Er wurde im Wartezimmer zusehends unruhiger.	In the waiting room he grew noticeably more restless.	merklich|zunehmend
unbeschadet	Unbeschadet der laufenden Prüfung wird weitergebaut.	Notwithstanding the ongoing review, building continues.
vermittels	Vermittels weniger Handgriffe lässt sich das Gerät umbauen.	By means of a few simple operations the device can be converted.	mittels|mithilfe
kraft	Kraft Gesetzes tritt die Regelung ohne Zustimmung in Kraft.	By virtue of the law the rule takes effect without approval.
behufs	Behufs der Beweissicherung wurde alles fotografiert.	For the purpose of securing evidence, everything was photographed.
zwecks	Zwecks besserer Übersicht wurden die Tabellen zusammengefasst.	For the purpose of a better overview the tables were merged.
der Schuft	Am Ende entpuppt sich der freundliche Nachbar als Schuft.	In the end the friendly neighbour turns out to be a scoundrel.	Schurke|Halunke
