# C1 second examples + synonyms — batch 01 (120 cards)
# term <TAB> de <TAB> en [<TAB> syn|syn]
die Überzeugungskraft	Es fehlte ihm nicht an Wissen, sondern an Überzeugungskraft.	He lacked not knowledge but persuasiveness.
überzeugen	Sie konnte die Jury von ihrem Entwurf überzeugen.	She was able to convince the jury of her design.
widerlegen	Diese Behauptung lässt sich mit einem Blick ins Archiv widerlegen.	This claim can be refuted with a glance at the archive.	entkräften
stichhaltig	Sein Einwand war stichhaltig und ließ sich nicht abtun.	His objection was cogent and could not be dismissed.	schlüssig|überzeugend
die Führungskraft	Das Programm bereitet junge Führungskräfte auf ihre Rolle vor.	The programme prepares young managers for their role.	Vorgesetzter
die Motivation	Ihm fehlte schlicht die Motivation, noch einmal von vorn zu beginnen.	He simply lacked the motivation to start over again.	Antrieb|Ansporn
die Wertschätzung	Sie bedankte sich für die Wertschätzung ihrer Arbeit.	She expressed thanks for the appreciation of her work.	Anerkennung
der Konflikt	Der Konflikt eskalierte, als beide Seiten Fristen setzten.	The conflict escalated when both sides set deadlines.	Streit|Auseinandersetzung
motivieren	Was motiviert dich, jeden Morgen um sechs zu laufen?	What motivates you to run at six every morning?	anspornen|ermutigen
wertschätzend	Auch Kritik lässt sich wertschätzend formulieren.	Even criticism can be worded appreciatively.	respektvoll
die Klimapolitik	In der Klimapolitik entscheidet das Tempo über die Kosten.	In climate policy the pace determines the cost.
der Grenzwert	Der gemessene Wert liegt knapp unter dem gesetzlichen Grenzwert.	The measured value is just below the statutory limit.	Höchstwert|Schwellenwert
die CO2-Steuer	Kritiker halten die CO2-Steuer für sozial ungerecht.	Critics consider the carbon tax socially unfair.
das Abkommen	Beide Länder haben ein Abkommen über den Datenaustausch geschlossen.	The two countries have concluded an agreement on data exchange.	Vertrag|Übereinkunft
die Auflage	Als Auflage muss der Konzern eine ganze Sparte verkaufen.	As a condition the group has to sell an entire division.	Bedingung|Vorgabe
umsetzen	Wir setzen die Empfehlungen Schritt für Schritt um.	We are implementing the recommendations step by step.	verwirklichen|realisieren
einhalten	Bitte halten Sie die vereinbarte Frist unbedingt ein.	Please be sure to meet the agreed deadline.	befolgen|wahren
das Gewissen	Mit gutem Gewissen kann ich das nicht unterschreiben.	I cannot sign that with a clear conscience.
die Rechtfertigung	Als Rechtfertigung führte er den Zeitdruck an.	He cited time pressure as justification.	Begründung
das Dilemma	Das Dilemma lässt sich nicht auflösen, nur aushalten.	The dilemma cannot be resolved, only endured.	Zwickmühle
die Pflicht	Die Teilnahme ist keine Pflicht, sondern ein Angebot.	Participation is not a duty but an offer.	Verpflichtung|Aufgabe
die Glaubwürdigkeit	Die Zeitung setzte ihre Glaubwürdigkeit für eine Schlagzeile aufs Spiel.	The paper gambled its credibility on a headline.	Vertrauenswürdigkeit|Seriosität
abwägen	Er wog lange ab, bevor er zusagte.	He weighed things up for a long time before agreeing.	erwägen|bedenken
rechtfertigen	Sie musste ihre Entscheidung vor dem Vorstand rechtfertigen.	She had to justify her decision to the board.	begründen|verteidigen
moralisch	Der Konzern steht unter moralischem Druck, den Standort zu erhalten.	The group is under moral pressure to keep the site.	sittlich|ethisch
der Einzelne	Die Regel gilt für alle, ohne Rücksicht auf den Einzelnen.	The rule applies to everyone, regardless of the individual.
die Eigenverantwortung	Mit dem neuen Modell wächst die Eigenverantwortung der Mitarbeitenden.	With the new model employees' personal responsibility grows.	Selbstverantwortung
der Systemwandel	Ohne Systemwandel bleiben Einzelmaßnahmen Symbolpolitik.	Without systemic change, individual measures remain symbolic politics.
die Wirkung	Das Medikament zeigt erst nach einigen Tagen Wirkung.	The medication only takes effect after a few days.	Effekt|Auswirkung
der Strukturwandel	Der Strukturwandel kostete die Region zehntausende Arbeitsplätze.	Structural change cost the region tens of thousands of jobs.
bewirken	Die Beschwerde hat immerhin bewirkt, dass die Ampel repariert wurde.	The complaint did at least bring about the repair of the traffic light.	erreichen|auslösen
beitragen zu	Mehrere Faktoren haben zu dem Unglück beigetragen.	Several factors contributed to the accident.	mitwirken
wirkungslos	Das Mittel erwies sich gegen resistente Keime als wirkungslos.	The drug proved ineffective against resistant germs.	unwirksam|nutzlos
der Weltmarkt	Der Konzern behauptet sich seit Jahrzehnten auf dem Weltmarkt.	The group has held its own on the global market for decades.
die Arbeitsteilung	Eine klare Arbeitsteilung erspart dem Team viele Reibungen.	A clear division of labour saves the team a lot of friction.
der Standortvorteil	Die gute Anbindung an den Hafen ist ihr größter Standortvorteil.	Good access to the port is their biggest locational advantage.
die Abhängigkeit	Er geriet in die Abhängigkeit von Schmerzmitteln.	He fell into dependence on painkillers.
